0.268536,0.316233
0.460437,0.301331
0.644939,0.027999
0.220466,0.042798
0.261926,0.000002
0.095520,0.430090
0.384688,0.122064
0.446084,0.118616
0.435777,0.132330
0.473886,0.000002
0.366574,0.184000
0.459358,0.157635
0.080964,0.554617
0.188676,0.305872
0.085458,0.224002
0.607952,0.303994
0.631878,0.116117
0.555952,0.216415
0.842374,0.094064
0.147638,0.147638
0.145841,0.150388
0.569049,0.160524
0.749680,0.194682
0.240691,0.591201
0.235669,0.255164
0.578503,0.000000
0.127454,0.091177
0.587856,0.223400
0.277423,0.267503
0.715318,0.159678
0.305638,0.306476
0.414441,0.239384
0.242230,0.502458
0.000001,0.000001
0.483693,0.000003
0.000005,0.308074
0.000001,0.106238
0.581788,0.581788
0.222293,0.226323
0.323556,0.396008
0.162387,0.000799
2.516394,2.246234
0.524057,0.300947
0.381255,0.249859
0.275484,0.593514
0.592590,0.601740
0.046376,0.046376
0.003984,0.521860
0.243021,0.243021
0.000004,0.000004
0.351824,0.047132
0.692885,0.000011
0.418617,0.537800
0.060475,0.940948
0.871983,0.871983
0.581368,0.480406
0.469301,0.479222
0.506701,0.325220
0.000008,0.208441
0.276920,0.293317
0.154495,0.480054
0.277709,0.304430
0.086105,0.086105
0.176887,0.199965
0.097576,0.231683
0.464650,0.093528
0.445627,0.323059
0.661287,0.129159
0.239253,0.048448
0.000008,0.408631
0.228347,0.203723
0.295115,0.165626
0.230858,0.356908
0.000004,0.745786
0.210521,0.552216
